author_id	author_orchid_id	author_fname	author_lname	author_dblp_url	author_dblp_key	author_gscholar_url	author_affiliation	author_page
1	 	Jinkai	Yu	https://dblp.org/pid/227/0764	homepages/227/0764	https://scholar.google.com/scholar?q=Jinkai+Yu		 
2	0000-0002-6866-9451	Pasquale	Lops	https://dblp.org/pers/hb/l/Lops:Pasquale.html	homepages/78/5518	https://scholar.google.com/scholar?q=Pasquale+Lops	"University of Bari ""Aldo Moro"", Italy"	http://www.di.uniba.it/~swap/index.php?n=Membri.Lops
3	 	A.	Yagci	https://dblp.org/pid/16/7955	homepages/16/7955	https://scholar.google.com/scholar?q=A.+Murat+Yagci		 
4	 	Aanchan	Mohan	https://dblp.org/pid/119/2432	homepages/119/2432	https://scholar.google.com/scholar?q=Aanchan+Mohan		 
5	 	Aapo	Kyrola	https://dblp.org/pid/42/8263	homepages/42/8263	https://scholar.google.com/scholar?q=Aapo+Kyrola		 
6	 	Aaron	Courville	https://dblp.org/pid/56/1688	homepages/56/1688	https://scholar.google.com/scholar?q=	"Universit√© de Montr√©al, Department of Computer Science"	author's page @ wordpress.comGoogle Scholar profile
7	 	Abdol-Hossein	Esfahanian	https://dblp.org/pid/e/AHEsfahanian	homepages/e/AHEsfahanian	https://scholar.google.com/scholar?q=	"Michigan State University, East Lansing, USA"	author's page @ msu.edu
8	 	Abdul-Saboor	Sheikh	https://dblp.org/pid/22/8697	homepages/22/8697	https://scholar.google.com/scholar?q=Abdul-Saboor+Sheikh		 
9	"ID inferred from metadata,verification pending"	Abhishek	Srivastava	https://dblp.org/pid/38/1922	homepages/38/1922	https://scholar.google.com/scholar?q=Abhishek+Srivastava		 
10	"ID inferred from metadata,verification pending"	Abigail	Gertner	https://dblp.org/pid/54/397	homepages/54/397	https://scholar.google.com/scholar?q=Abigail+S.+Gertner		 
11	"ID inferred from metadata,verification pending"	Abir	De	https://dblp.org/pid/118/7174	homepages/118/7174	https://scholar.google.com/scholar?q=Abir+De		 
12	0000-0002-0128-4602	Abraham	Bernstein	https://dblp.org/pers/hb/b/Bernstein:Abraham.html	homepages/b/AbrahamBernstein	https://scholar.google.com/scholar?q=Abraham+Bernstein	"University of Zurich, Switzerland"	http://www.ifi.uzh.ch/ddis/bernstein.html
13	 	Achim	Weimert	https://dblp.org/pid/227/1472	homepages/227/1472	https://scholar.google.com/scholar?q=Achim+Weimert		 
14	 	Adem	Sabic	https://dblp.org/pid/185/2876	homepages/185/2876	https://scholar.google.com/scholar?q=Adem+Sabic		 
15	 	Adi	Botea	https://dblp.org/pid/73/3430	homepages/73/3430	https://scholar.google.com/scholar?q=Adi+Botea		 
16	 	Adi	Eshkol	https://dblp.org/pid/135/6847	homepages/135/6847	https://scholar.google.com/scholar?q=Adi+Eshkol		 
17	"ID inferred from metadata,verification pending"	Adilson	Cunha	https://dblp.org/pers/hb/c/Cunha:Adilson_Marques_da.html	homepages/11/1271	https://scholar.google.com/scholar?q=Adilson+Marques+da+Cunha	Brazilian Aeronautical Institute of Technology	http://www.comp.ita.br/~cunha/
18	 	Adith	Swaminathan	https://dblp.org/pid/121/4128	homepages/121/4128	https://scholar.google.com/scholar?q=		author's page @ microsoft.comGoogle Scholar profile
19	 	Michael	Tarselli	https://dblp.org/pid/227/0720	homepages/227/0720	https://scholar.google.com/scholar?q=Michael+A.+Tarselli		 
20	 	Michael	Brown-Hayes	https://dblp.org/pid/227/1412	homepages/227/1412	https://scholar.google.com/scholar?q=Michael+Brown-Hayes		 
21	0000-0003-2467-0108	Michael	Ekstrand	https://dblp.org/pers/hb/e/Ekstrand:Michael_D=.html	homepages/69/7949	https://scholar.google.com/scholar?q=Michael+D.+Ekstrand	"Boise State University, ID, USA"	https://md.ekstrandom.net/research/
22	 	Michael	Houle	https://dblp.org/pid/51/4467	homepages/51/4467	https://scholar.google.com/scholar?q=	"National Institute of Informatics, NII, Japan"	author's page @ nii.ac.jp
23	 	Michael	Friedmann	https://dblp.org/pid/151/6938	homepages/151/6938	https://scholar.google.com/scholar?q=Michael+Friedmann		 
24	0000-0001-5458-8645	Michael	F√§rber	https://dblp.org/pers/hb/f/F=auml=rber_0001:Michael.html	homepages/129/9499	https://scholar.google.com/scholar?q=Michael+F%C3%A4rber	"University of Freiburg, Germany"	http://dbis.informatik.uni-freiburg.de/team/faerber/michael
25	 	Michael	Hart	https://dblp.org/pid/45/6430	homepages/45/6430	https://scholar.google.com/scholar?q=Michael+Hart		 
26	 	Michael	Franklin	https://dblp.org/pid/f/MJFranklin	homepages/f/MJFranklin	https://scholar.google.com/scholar?q=	University of Chicago	author's page @ uchicago.eduauthor's page @ berkeley.eduACM author profileWikipedia article
27	 	Michael	Muller	https://dblp.org/pid/91/2964	homepages/91/2964	https://scholar.google.com/scholar?q=Michael+J.+Muller		 
28	 	Michael	Jugovac	https://dblp.org/pid/160/4218	homepages/160/4218	https://scholar.google.com/scholar?q=Michael+Jugovac		 
29	 	Michael	Littman	https://dblp.org/pid/l/MLLittman	homepages/l/MLLittman	https://scholar.google.com/scholar?q=	"Brown University, Department of Computer Science"	author's page @ brown.eduauthor's page @ rutgers.eduauthor's page @ nodak.eduWikipedia article
30	"ID inferred from metadata,verification pending"	Michael	Ludwig	https://dblp.org/pid/98/4057	homepages/98/4057	https://scholar.google.com/scholar?q=Michael+Ludwig		 
31	0000-0001-7085-9089	Michael	O'Mahony	https://dblp.org/pid/34/4255	homepages/34/4255	https://scholar.google.com/scholar?q=Michael+P.+O%27Mahony		 
32	 	Michael	Lyu	https://dblp.org/pid/l/MichaelRLyu	homepages/l/MichaelRLyu	https://scholar.google.com/scholar?q=	"Chinese University of Hong Kong, Department of Computer Science and Engineering"	author's page @ cuhk.edu.hkGoogle Scholar profileWikipedia articleACM awards page
33	 	Michael	Sobolev	https://dblp.org/pid/216/5617	homepages/216/5617	https://scholar.google.com/scholar?q=Michael+Sobolev		 
34	 	Michal	Aharon	https://dblp.org/pid/27/2725	homepages/27/2725	https://scholar.google.com/scholar?q=Michal+Aharon		 
35	 	Michal	Holub	https://dblp.org/pid/90/59	homepages/90/59	https://scholar.google.com/scholar?q=Michal+Holub		 
36	 	Dorota	Glowacka	https://dblp.org/pid/82/9381	homepages/82/9381	https://scholar.google.com/scholar?q=Dorota+Glowacka		 
37	 	Dorothea	Tsatsou	https://dblp.org/pid/39/7457	homepages/39/7457	https://scholar.google.com/scholar?q=Dorothea+Tsatsou		 
38	 	Douglas	Bacon	https://dblp.org/pid/227/0763	homepages/227/0763	https://scholar.google.com/scholar?q=Douglas+Bacon		 
39	 	Dusan	Zeleník	https://dblp.org/pid/11/10010	homepages/11/10010	https://scholar.google.com/scholar?q=Dusan+Zelen%C3%ADk		 
40	 	E.	Sparling	https://dblp.org/pid/96/9167	homepages/96/9167	https://scholar.google.com/scholar?q=E.+Isaac+Sparling		 
41	 	Eben	Haber	https://dblp.org/pid/10/3456	homepages/10/3456	https://scholar.google.com/scholar?q=Eben+M.+Haber		 
42	0000-0003-3230-5338	Ed	Chi	https://dblp.org/pers/hb/c/Chi:Ed_Huai=hsin.html	homepages/13/310	https://scholar.google.com/scholar?q=Ed+Huai-hsin+Chi	"Google, Mountain View, California"	http://www-users.cs.umn.edu/~echi/
43	 	Edgar	Scavino	https://dblp.org/pid/56/1963	homepages/56/1963	https://scholar.google.com/scholar?q=Edgar+Scavino		 
44	"ID inferred from metadata,verification pending"	Eduardo	Veas	https://dblp.org/pid/46/2797	homepages/46/2797	https://scholar.google.com/scholar?q=Eduardo+E.+Veas		 
45	"ID inferred from metadata,verification pending"	Eduardo	Graells-Garrido	https://dblp.org/pers/hb/g/Graells=Garrido:Eduardo.html	homepages/132/8956	https://scholar.google.com/scholar?q=Eduardo+Graells-Garrido	"Universidad del Desarrollo, Santiago, Chile"	https://scholar.google.com/citations?user=ltsTTI4AAAAJ
46	 	Eduardo	Fressato	https://dblp.org/pid/227/0702	homepages/227/0702	https://scholar.google.com/scholar?q=Eduardo+P.+Fressato		 
47	 	Eduardo	Fontes	https://dblp.org/pid/204/6308	homepages/204/6308	https://scholar.google.com/scholar?q=Eduardo+R.+Fontes		 
48	 	Eduardo	Sánchez	https://dblp.org/pid/23/4971	homepages/23/4971	https://scholar.google.com/scholar?q=Eduardo+S%C3%A1nchez		 
49	 	Eduardo	Vila	https://dblp.org/pid/05/3753	homepages/05/3753	https://scholar.google.com/scholar?q=Eduardo+S%C3%A1nchez+Vila		 
50	 	Edward	Bortnikov	https://dblp.org/pid/35/191	homepages/35/191	https://scholar.google.com/scholar?q=Edward+Bortnikov		 
51	"ID inferred from metadata,verification pending"	Edward	Malthouse	https://dblp.org/pid/47/5001	homepages/47/5001	https://scholar.google.com/scholar?q=Edward+C.+Malthouse		 
52	 	Edward	Newett	https://dblp.org/pid/185/2924	homepages/185/2924	https://scholar.google.com/scholar?q=Edward+Newett		 
53	 	Edward	Chang	https://dblp.org/pid/c/EdwardYChang	homepages/c/EdwardYChang	https://scholar.google.com/scholar?q=		author's page @ stanford.edu
54	0000-0002-6954-7720	Efthimios	Bothos	https://dblp.org/pid/57/5887	homepages/57/5887	https://scholar.google.com/scholar?q=Efthimios+Bothos		 
55	 	Elad	Ziklik	https://dblp.org/pid/135/6685	homepages/135/6685	https://scholar.google.com/scholar?q=Elad+Ziklik		 
56	 	Eleftherios	Tiakas	https://dblp.org/pid/95/6816	homepages/95/6816	https://scholar.google.com/scholar?q=Eleftherios+Tiakas		 
57	 	Elena	Corriero	https://dblp.org/pid/160/9705	homepages/160/9705	https://scholar.google.com/scholar?q=Elena+Francesca+Corriero		 
58	 	Elena	Smirnova	https://dblp.org/pid/47/6071	homepages/47/6071	https://scholar.google.com/scholar?q=Elena+Smirnova		 
59	 	Elisa	Baglioni	https://dblp.org/pid/21/8779	homepages/21/8779	https://scholar.google.com/scholar?q=Elisa+Baglioni		 
60	 	Elisabeth	André	https://dblp.org/pid/a/EAndre	homepages/a/EAndre	https://scholar.google.com/scholar?q=	"University of Augsburg, Germany"	author's page @ uni-augsburg.deauthor's page @ academia-net.orgGoogle Scholar profileWikipedia article
61	"ID inferred from metadata,verification pending"	Elisabeth	Lex	https://dblp.org/pid/88/6931	homepages/88/6931	https://scholar.google.com/scholar?q=Elisabeth+Lex		 
62	 	Elizabeth	Daly	https://dblp.org/pid/10/5750	homepages/10/5750	https://scholar.google.com/scholar?q=Elizabeth+M.+Daly		 
63	 	Elizabeth	Churchill	https://dblp.org/pid/99/3360	homepages/99/3360	https://scholar.google.com/scholar?q=	Google	author's page @ elizabethchurchill.comauthor's page @ acm.orgGoogle Scholar profileWikipedia article
64	 	Elizabeth	Wayman	https://dblp.org/pid/149/9152	homepages/149/9152	https://scholar.google.com/scholar?q=Elizabeth+Wayman		 
65	 	Emanuel	Lacic	https://dblp.org/pid/133/0809	homepages/133/0809	https://scholar.google.com/scholar?q=Emanuel+Lacic		 
66	 	Emden	Gansner	https://dblp.org/pid/35/6095	homepages/35/6095	https://scholar.google.com/scholar?q=	AT&T Inc	author's page @ att.com
67	 	Roy	Sasson	https://dblp.org/pid/178/3639	homepages/178/3639	https://scholar.google.com/scholar?q=Roy+Sasson		 
68	 	Royi	Ronen	https://dblp.org/pid/83/3720	homepages/83/3720	https://scholar.google.com/scholar?q=Royi+Ronen		 
69	 	Rubén	Lara	https://dblp.org/pid/10/517	homepages/10/517	https://scholar.google.com/scholar?q=		author's page @ rubenlara.es
70	"ID inferred from metadata,verification pending"	Rubén	Manrique	https://dblp.org/pid/204/3652	homepages/204/3652	https://scholar.google.com/scholar?q=Rub%C3%A9n+Manrique		 
71	ID conflict found inthis bibliography	Rui	Gao	https://dblp.org/pid/43/2694	homepages/43/2694	https://scholar.google.com/scholar?q=Rui+Gao		 
72	 	Ruihai	Dong	https://dblp.org/pid/94/11082	homepages/94/11082	https://scholar.google.com/scholar?q=Ruihai+Dong		 
73	 	Ruilong	Su	https://dblp.org/pid/135/6760	homepages/135/6760	https://scholar.google.com/scholar?q=Ruilong+Su		 
74	 	Ruiming	Tang	https://dblp.org/pid/24/10003	homepages/24/10003	https://scholar.google.com/scholar?q=Ruiming+Tang		 
75	 	Ruining	He	https://dblp.org/pid/11/11110	homepages/11/11110	https://scholar.google.com/scholar?q=Ruining+He		 
76	 	Rus	Mesas	https://dblp.org/pid/204/6322	homepages/204/6322	https://scholar.google.com/scholar?q=Rus+M.+Mesas		 
77	"ID inferred from metadata,verification pending"	Rushed	Kanawati	https://dblp.org/pers/hb/k/Kanawati:Rushed.html	homepages/42/4259	https://scholar.google.com/scholar?q=Rushed+Kanawati	"University of Paris 13, France"	http://www-lipn.univ-paris13.fr/~kanawati/
78	 	Ryan	Snyder	https://dblp.org/pid/123/3264	homepages/123/3264	https://scholar.google.com/scholar?q=Ryan+Snyder		 
79	 	Róbert	Pálovics	https://dblp.org/pid/132/9381	homepages/132/9381	https://scholar.google.com/scholar?q=R%C3%B3bert+P%C3%A1lovics		 
80	 	S.	Mouli	https://dblp.org/pid/167/6021	homepages/167/6021	https://scholar.google.com/scholar?q=S.+Chandra+Mouli		 
81	"ID inferred from metadata,verification pending"	S.	Iyengar	https://dblp.org/pers/hb/i/Iyengar:S=_Sitharama.html	homepages/i/SSitharamaIyengar	https://scholar.google.com/scholar?q=S.+Sitharama+Iyengar	"Florida International University, Miami, FL, USA"	http://users.cis.fiu.edu/~iyengar/
82	 	S.	Vishwanathan	https://dblp.org/pid/v/SVNVishwanathan	homepages/v/SVNVishwanathan	https://scholar.google.com/scholar?q=	"Department of Statistics, Purdue University"	author's page @ purdue.edu
83	 	Saadhika	Sivakumar	https://dblp.org/pid/185/2884	homepages/185/2884	https://scholar.google.com/scholar?q=Saadhika+Sivakumar		 
