author	publication
4	173
4	174
4	175
4	176
4	177
4	178
4	179
6	191
6	192
6	193
6	194
6	195
6	196
6	197
6	198
6	199
6	200
6	201
6	202
6	203
6	204
6	205
6	206
6	207
6	208
6	209
6	210
6	211
6	213
6	214
6	215
6	216
6	217
6	218
6	219
6	220
6	221
6	222
6	223
6	224
6	225
6	226
6	227
6	228
6	229
6	230
6	231
6	232
6	233
6	234
6	235
6	236
6	237
6	238
6	240
6	241
6	242
6	243
6	244
6	245
6	247
6	248
6	249
6	250
6	251
6	253
6	254
6	255
6	257
6	258
6	259
6	261
6	262
6	264
6	266
6	267
6	268
6	270
6	271
6	273
6	274
6	275
6	276
6	277
6	278
6	279
8	339
8	340
8	341
8	342
8	343
8	344
8	345
8	346
8	347
9	352
9	356
9	375
9	381
9	386
9	387
11	408
11	409
11	410
11	412
11	413
11	414
11	415
11	416
11	417
11	418
11	419
11	420
11	421
11	422
11	423
11	424
15	563
15	566
15	567
15	569
15	570
15	571
15	572
15	573
15	574
15	575
15	576
15	580
15	588
15	589
15	590
15	592
15	593
15	594
15	595
15	596
15	599
15	601
15	602
15	603
15	604
15	605
15	606
15	607
15	608
15	609
15	611
15	612
15	613
15	614
15	615
15	616
15	617
15	620
15	621
15	623
15	624
15	625
17	630
17	632
17	638
17	650
17	673
17	681
18	683
18	684
18	686
18	688
18	689
18	690
18	691
18	692
18	693
18	694
18	696
18	697
18	698
21	701
21	702
21	703
21	704
21	705
21	706
21	708
21	709
21	710
21	712
21	713
21	715
21	717
21	718
21	719
21	721
21	722
21	723
21	724
21	725
21	727
21	728
21	729
24	825
24	826
24	830
24	831
24	834
24	838
24	839
24	841
24	845
24	847
24	848
24	850
24	851
28	1245
28	1246
28	1247
28	1248
28	1249
28	1251
28	1252
28	1253
28	1254
28	1255
28	1256
28	1257
28	1258
42	2098
42	2099
42	2100
42	2101
42	2102
42	2103
42	2104
42	2105
42	2106
42	2107
42	2109
42	2111
42	2112
42	2114
42	2115
42	2116
42	2117
42	2118
42	2121
42	2122
42	2124
42	2126
42	2132
42	2134
42	2137
42	2139
42	2140
42	2141
42	2142
42	2146
42	2147
42	2148
42	2150
42	2153
42	2157
42	2159
42	2162
42	2163
42	2166
42	2167
42	2172
42	2175
42	2176
42	2177
42	2178
42	2181
42	2183
42	2185
42	2188
42	2189
42	2190
42	2192
42	2193
42	2194
42	2195
42	2196
42	2197
42	2198
42	2199
42	2200
42	2201
42	2203
42	2205
42	2206
42	2208
42	2209
42	2210
42	2211
42	2212
42	2213
42	2215
42	2216
42	2217
42	2218
42	2219
42	2221
42	2222
42	2223
44	2235
44	2241
44	2245
44	2248
44	2249
44	2250
44	2256
44	2266
44	2267
44	2268
44	2269
44	2270
44	2272
44	2273
44	2277
44	2279
44	2281
44	2282
44	2286
45	2291
45	2292
45	2295
45	2298
45	2300
45	2301
45	2302
45	2303
45	2304
45	2305
45	2306
45	2308
45	2309
45	2310
45	2311
45	2312
45	2313
45	2315
50	1986
50	2368
50	2369
50	2370
50	2372
50	2373
50	2374
50	2375
50	2377
50	2378
50	2379
50	2381
50	2382
50	2383
50	2385
50	2387
50	2389
50	2394
50	2395
51	2399
51	2400
51	2401
51	2402
51	2404
51	2405
51	2406
51	2407
54	2589
54	2599
54	2600
54	2601
54	2607
54	2608
54	2609
54	2610
54	2613
61	3008
61	3009
61	3010
61	3011
61	3012
61	3014
61	3016
61	3017
61	3018
61	3019
61	3020
61	3021
61	3027
61	3028
61	3029
61	3034
61	3035
61	3036
61	3037
61	3038
61	3039
61	3040
61	3041
61	3042
61	3044
61	3046
61	3047
61	3050
61	3051
61	3052
61	3053
62	566
62	574
62	589
62	701
62	702
62	1119
62	1144
62	3055
62	3057
62	3058
62	3063
62	3069
62	3072
62	3075
62	3076
62	3079
65	3009
65	3011
65	3016
65	3028
65	3035
65	3036
65	3040
65	3259
65	3261
65	3262
65	3263
65	3264
65	3266
71	3366
71	3367
71	3370
71	3373
71	3376
71	3377
71	3380
71	3385
71	3391
71	3403
71	3407
71	3408
71	3412
71	3415
71	3416
71	3421
71	3422
71	3429
71	3430
72	1475
72	1477
72	1478
72	1480
72	1485
72	1486
72	1488
72	1491
72	3433
72	3436
72	3437
72	3438
72	3440
72	3441
74	1
74	3444
74	3445
74	3446
74	3447
74	3448
74	3449
74	3451
74	3452
74	3453
74	3454
74	3455
74	3456
74	3457
74	3458
74	3460
74	3463
74	3464
74	3465
74	3466
75	3467
75	3468
75	3469
75	3470
75	3472
75	3473
75	3474
75	3475
75	3476
75	3477
75	3478
75	3479
77	3486
77	3487
77	3495
77	3496
77	3499
77	3501
77	3502
77	3505
77	3512
77	3513
77	3529
87	3979
87	3985
87	3993
87	3995
87	4003
87	4009
87	4010
87	4011
87	4012
87	4014
91	4308
91	4309
91	4310
91	4311
91	4312
95	4399
95	4400
95	4401
95	4403
95	4404
95	4406
95	4407
95	4408
95	4409
95	4410
95	4411
95	4412
95	4413
95	4414
95	4415
95	4416
95	4417
95	4418
95	4419
95	4420
95	4421
95	4424
95	4425
95	4426
95	4427
95	4428
95	4429
95	4431
95	4432
95	4433
95	4434
95	4436
95	4437
95	4439
95	4440
95	4441
95	4442
95	4443
95	4444
95	4445
95	4447
95	4448
95	4449
95	4452
95	4453
95	4455
95	4456
95	4459
95	4460
95	4461
95	4462
95	4464
95	4465
95	4466
95	4467
95	4469
95	4470
95	4471
95	4472
95	4473
95	4474
95	4475
95	4476
95	4477
95	4478
95	4479
98	838
98	4620
98	4621
98	4622
98	4623
98	4624
98	4626
103	4046
103	4047
103	4049
103	4150
103	4837
103	4838
103	4839
103	4840
103	4841
103	4842
103	4843
103	4845
103	4846
103	4847
103	4848
103	4849
103	4851
103	4853
103	4855
103	4856
103	4857
106	4876
106	4890
106	4891
106	4893
106	4907
106	4910
106	4911
106	4913
106	4915
106	4917
106	4930
106	4935
106	4948
106	4952
106	4970
106	4971
106	4976
106	4977
106	4985
106	5006
106	5007
106	5024
106	5037
106	5041
106	5042
106	5043
106	5046
106	5050
106	5055
106	5064
106	5071
106	5073
106	5074
106	5076
106	5087
106	5088
107	5093
107	5096
107	5097
107	5103
107	5104
107	5105
107	5106
107	5108
107	5112
107	5113
107	5114
107	5115
107	5117
107	5120
107	5121
107	5122
107	5126
107	5127
107	5133
107	5134
107	5136
107	5137
107	5139
107	5140
107	5141
107	5142
107	5143
128	6262
128	6265
128	6266
128	6268
128	6271
128	6272
128	6273
128	6280
128	6282
128	6286
128	6292
128	6293
128	6294
128	6302
128	6317
128	6319
128	6320
128	6321
128	6322
128	6328
128	6330
128	6332
128	6337
128	6340
128	6344
128	6350
128	6352
128	6357
128	6358
128	6360
128	6361
128	6362
128	6364
128	6367
128	6370
128	6373
128	6376
128	6380
128	6389
128	6401
128	6402
128	6403
128	6413
128	6420
128	6425
128	6431
131	5888
131	6443
131	6444
131	6445
131	6446
131	6452
131	6453
131	6459
131	6460
131	6466
131	6467
131	6470
131	6473
131	6474
131	6475
131	6477
131	6478
131	6479
131	6481
131	6484
135	6631
135	6632
135	6633
135	6635
135	6636
135	6638
135	6640
135	6644
135	6645
135	6648
135	6649
135	6651
135	6654
135	6655
135	6656
135	6657
135	6658
135	6659
135	6662
135	6664
135	6665
135	6667
135	6668
135	6670
135	6671
135	6672
135	6674
135	6676
135	6677
135	6679
139	3967
139	6690
139	6691
139	6695
139	6696
139	6700
139	6701
139	6702
139	6703
139	6704
139	6706
139	6707
139	6708
139	6709
139	6710
139	6711
139	6712
147	1164
147	2643
147	6963
147	6964
147	6968
147	6970
147	6975
147	6978
147	6982
147	6983
147	6986
147	6995
147	6997
147	7001
147	7003
147	7004
147	7005
147	7006
147	7007
147	7010
147	7011
147	7013
147	7015
147	7016
147	7017
147	7019
147	7020
147	7024
147	7025
147	7028
147	7030
159	838
159	4621
159	4622
159	4623
159	7243
159	7244
164	7310
164	7311
164	7312
164	7314
164	7315
164	7317
164	7318
164	7319
165	3971
165	7321
165	7325
165	7326
165	7330
165	7331
165	7332
165	7334
165	7335
165	7338
165	7346
165	7347
165	7348
165	7352
165	7354
167	7429
167	7430
167	7431
167	7432
167	7433
167	7434
167	7435
167	7436
167	7437
167	7438
167	7439
167	7440
167	7441
167	7444
167	7445
167	7446
167	7447
167	7448
167	7450
169	7526
169	7531
169	7532
169	7542
169	7543
169	7544
169	7546
169	7552
169	7557
169	7558
169	7560
169	7566
169	7575
169	7576
169	7577
169	7580
169	7581
169	7582
169	7583
169	7587
169	7589
169	7593
169	7594
169	7595
169	7596
169	7598
169	7611
169	7616
169	7619
169	7623
169	7626
169	7629
169	7634
169	7637
169	7638
169	7643
169	7644
169	7645
169	7649
169	7651
169	7652
169	7658
177	879
177	7706
177	7707
177	7708
177	7709
177	7710
177	7711
177	7712
177	7713
177	7714
177	7715
177	7716
177	7717
177	7718
177	7720
177	7721
177	7723
177	7724
177	7725
177	7726
177	7727
177	7728
177	7729
177	7731
177	7732
177	7733
177	7734
177	7735
177	7736
177	7737
177	7739
177	7740
177	7744
177	7745
177	7747
177	7748
177	7749
177	7750
177	7751
177	7753
177	7756
177	7758
177	7760
177	7761
177	7762
177	7763
177	7764
177	7765
177	7766
177	7769
177	7772
177	7773
177	7774
177	7776
177	7778
177	7782
177	7783
177	7786
177	7788
177	7790
177	7791
177	7793
177	7794
177	7795
177	7796
177	7797
177	7798
177	7799
177	7800
177	7801
177	7802
177	7803
177	7804
177	7805
177	7807
177	7808
177	7809
177	7812
177	7813
177	7815
177	7816
177	7823
177	7824
177	7830
177	7831
177	7832
177	7833
177	7834
177	7835
177	7836
177	7837
177	7839
177	7840
177	7849
177	7851
177	7852
177	7854
177	7855
177	7857
177	7858
177	7859
177	7866
177	7872
177	7873
177	7874
177	7875
177	7876
181	8261
181	8263
181	8264
181	8269
181	8271
181	8273
181	8274
181	8282
181	8286
181	8296
181	8299
181	8301
181	8304
181	8305
181	8307
181	8309
181	8319
181	8322
181	8323
181	8324
181	8325
181	8329
181	8331
181	8334
181	8339
181	8343
181	8350
181	8360
181	8362
181	8371
181	8379
181	8382
181	8385
181	8386
181	8388
181	8403
181	8407
185	7663
185	7664
185	7684
185	7698
185	7699
185	7702
185	8458
185	8459
185	8460
185	8461
185	8462
185	8463
185	8465
185	8468
185	8469
185	8470
185	8474
185	8475
185	8479
185	8480
185	8481
185	8482
185	8485
185	8487
185	8488
185	8491
185	8492
185	8493
185	8494
185	8495
185	8496
185	8498
185	8499
185	8500
185	8501
185	8502
185	8504
185	8505
185	8506
185	8508
185	8509
185	8510
185	8511
185	8512
185	8513
185	8514
190	8668
190	8669
190	8670
190	8671
190	8674
190	8675
190	8676
190	8677
190	8678
190	8679
190	8680
190	8681
190	8682
190	8683
194	8831
194	8832
194	8833
194	8834
194	8835
194	8836
194	8837
194	8838
194	8839
194	8840
194	8841
194	8842
194	8843
194	8844
194	8845
197	3959
197	4491
197	4495
197	4499
197	4511
197	4515
197	4516
197	4517
197	4518
197	4519
197	4521
197	4523
197	4528
197	9364
197	9365
197	9366
197	9368
197	9371
197	9374
197	9375
197	9376
197	9377
197	9379
197	9381
197	9383
197	9384
197	9385
197	9386
197	9387
197	9390
197	9391
197	9392
197	9394
197	9395
197	9396
197	9397
197	9398
197	9402
202	9435
202	9436
202	9437
202	9439
205	7762
205	7763
205	9465
205	9468
205	9470
205	9471
205	9472
205	9473
205	9474
205	9475
205	9476
205	9477
205	9478
205	9479
205	9480
205	9481
205	9484
205	9485
205	9486
205	9487
205	9488
205	9489
205	9490
205	9491
205	9495
205	9497
205	9498
205	9499
205	9500
205	9501
205	9502
205	9503
205	9505
205	9506
205	9507
205	9508
205	9509
205	9510
205	9511
205	9512
205	9514
205	9515
205	9518
205	9519
205	9520
205	9521
205	9523
205	9526
209	3966
209	6708
209	9730
209	9731
209	9732
209	9733
209	9734
209	9735
209	9736
209	9737
209	9738
210	9739
210	9740
210	9741
210	9742
210	9744
210	9745
210	9746
210	9747
210	9748
210	9750
210	9751
210	9752
210	9753
210	9754
210	9755
210	9756
220	10035
220	10036
220	10037
220	10038
220	10039
220	10040
220	10041
220	10042
220	10043
220	10044
220	10046
220	10047
220	10048
220	10049
220	10050
220	10052
220	10053
220	10054
220	10055
220	10056
220	10057
220	10059
220	10060
220	10063
220	10064
220	10065
220	10066
220	10067
220	10068
220	10069
220	10070
220	10073
220	10074
220	10075
220	10079
220	10080
223	10184
223	10185
223	10187
223	10188
223	10193
223	10194
223	10195
223	10196
223	10198
223	10199
223	10201
223	10202
223	10204
223	10205
226	10248
226	10249
226	10250
226	10251
226	10252
226	10253
226	10254
226	10255
226	10256
226	10257
226	10258
226	10259
226	10260
226	10262
238	10796
238	10797
238	10798
238	10799
238	10800
238	10801
238	10802
238	10803
238	10804
238	10805
238	10806
238	10807
238	10808
238	10809
238	10810
238	10811
238	10812
238	10813
238	10814
238	10815
238	10817
238	10820
238	10821
238	10822
238	10823
238	10826
238	10827
238	10828
238	10829
238	10830
238	10831
238	10832
238	10833
238	10834
238	10835
238	10836
238	10837
238	10838
238	10839
